As,Source_Nodes,Categorical_Model_Trees,Categorical_True_Trees,Categorical_Model_Mask,Categorical_True_Mask,Categorical_Model_Accuracy,Categorical_True_Accuracy,Random_Model_Trees,Random_True_Trees,Random_Model_Mask,Random_True_Mask,Random_Model_Accuracy,Random_True_Accuracy,Prim_Model_Trees,Prim_True_Trees,Prim_Model_Mask,Prim_True_Mask,Prim_Model_Accuracy,Prim_True_Accuracy,Beam_Model_Trees,Beam_True_Trees,Beam_Model_Mask,Beam_True_Mask,Beam_Model_Accuracy,Beam_True_Accuracy
"[0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0
 0 0 1 1 0 0 1 0 0 1 0 1 0 1 1 1 1 0 0 0 0 0 0 0 1 1 1 0 0 1 0 1 1 1 0 0 1
 0 0 0 0 0 0 1 1 0 0 0 1 1 0 1 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 1 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0
 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1
 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",2,[ 5  0  2  6  6 10  2 10  5  6  2  6 14  7  2  0],[ 5  0  2  6  6 10  2  6  9  6  2  6 14  7  2  0],True,True,1.0,1.0,"[np.int64(13), np.int64(4), np.int64(8), np.int64(5), np.int64(9), np.int64(5), np.int64(6), np.int64(6), np.int64(9), np.int64(11), np.int64(5), np.int64(3), np.int64(3), np.int64(1), np.int64(11), np.int64(10)]","[np.int64(8), np.int64(8), np.int64(9), np.int64(1), np.int64(10), np.int64(0), np.int64(10), np.int64(14), np.int64(1), np.int64(3), np.int64(6), np.int64(9), np.int64(4), np.int64(7), np.int64(5), np.int64(15)]",False,False,0.0,0.0,[ 5  0  2  6  6 10  2 10  3  6  2  6 14  4  2  0],[ 5  0  2  6  6 10  2  6  4  6  2  6 14  7  2  0],True,True,0.796875,1.0,[ 5  0  2  6  6 10  2  6  3  6  2  6 14  4  2  0],[ 5  0  2  6  6 10  2  6  3  6  2  6 14  4  2  0],True,True,0.8125,0.8125
"[0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 1
 1 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0
 0 0 1 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0
 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0
 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0
 0 1 0 1 0 0 0 0 0 1 0 1 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0]",9,[10  7 12 10 12  4 13  9  1  9 11  7  6  9 14  3],[10  7 12 10 12  4 13  9  1  9 11  7 11  9 14  3],True,True,1.0,1.0,"[np.int64(8), np.int64(2), np.int64(3), np.int64(10), np.int64(9), np.int64(15), np.int64(11), np.int64(9), np.int64(1), np.int64(10), np.int64(1), np.int64(11), np.int64(8), np.int64(11), np.int64(12), np.int64(15)]","[np.int64(4), np.int64(11), np.int64(9), np.int64(15), np.int64(7), np.int64(12), np.int64(1), np.int64(3), np.int64(3), np.int64(12), np.int64(1), np.int64(10), np.int64(10), np.int64(3), np.int64(3), np.int64(2)]",False,False,0.0,0.0,[10  7 12 10 12  4 13  9  1  9 11  7 11  9 15  4],[10  7 12 10 12  4 13  9  1  9 11  7  6  9 14  3],False,True,0.796875,1.0,[10  7 12 10 12  2 13  9  1  9 11  7  6  9  0  2],[10  7 12 10 12  4 13  9  1  9 11  7 11  9  0  4],False,False,0.8125,0.8125
"[1 0 0 1 0 1 0 0 1 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 1 0 0 0 0 0
 0 0 0 0 1 0 0 1 0 1 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 1
 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 1 0 1 0 1 0 0 1 0 0 1 1 1 1 1
 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0
 0 0 0 0 0 1 0 1 0 1 0 0 1 0 0 1 0 0 0 1 1 0 1 0 1 0 0 0 0 1 1 0 1 0 0 1 1
 0 0 1 0 1 1 0 0 0 1 0 0 0 1 0 0 1 0 1 1 0 1 0 0 0 0 1 0 1 0 1 0 0 0]",9,[ 9  9  9  9  9  8 13 13  9  9  1  1  0  9  3  0],[9 9 9 9 9 8 3 8 9 9 1 1 0 9 2 1],True,True,1.0,1.0,"[np.int64(7), np.int64(7), np.int64(7), np.int64(13), np.int64(8), np.int64(2), np.int64(6), np.int64(0), np.int64(6), np.int64(8), np.int64(12), np.int64(11), np.int64(1), np.int64(10), np.int64(10), np.int64(15)]","[np.int64(0), np.int64(10), np.int64(5), np.int64(3), np.int64(12), np.int64(2), np.int64(12), np.int64(11), np.int64(7), np.int64(4), np.int64(9), np.int64(5), np.int64(8), np.int64(12), np.int64(1), np.int64(2)]",False,False,0.0,0.0,[9 9 9 9 9 0 4 8 9 9 1 1 2 9 0 3],[9 9 9 9 9 0 3 8 9 9 1 1 0 9 2 0],True,True,0.796875,1.0,[9 9 9 9 9 0 3 8 9 9 1 1 0 9 0 1],[9 9 9 9 9 0 3 8 9 9 1 1 0 9 0 0],True,True,0.8125,0.8125
"[1 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0
 1 1 0 1 0 0 0 1 1 0 1 1 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0
 1 1 1 0 0 0 0 0 1 0 0 1 1 0 0 1 1 0 0 1 0 0 1 0 1 0 0 1 1 0 0 0 1 0 0 0 1
 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
 0 1 0 0 0 1 1 0 0 0 1 1 0 0 0 0 1 1 1 1 0 1 0 1 1 0 1 0 0 0 0 1 1 0 0 0 0
 0 1 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 1
 0 0 1 1 0 0 0 0 1 1 0 1 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1]",8,[ 6 15  8 13 12  2  2 14  8 15 12 14  2  2  6  2],[ 6 15  8 13 12  2  2 14  8 15  5  3  2  2  6  2],True,True,1.0,1.0,"[np.int64(15), np.int64(10), np.int64(7), np.int64(3), np.int64(9), np.int64(11), np.int64(9), np.int64(1), np.int64(3), np.int64(12), np.int64(10), np.int64(2), np.int64(12), np.int64(12), np.int64(7), np.int64(14)]","[np.int64(1), np.int64(9), np.int64(5), np.int64(4), np.int64(7), np.int64(12), np.int64(14), np.int64(5), np.int64(5), np.int64(14), np.int64(0), np.int64(3), np.int64(9), np.int64(4), np.int64(1), np.int64(4)]",False,False,0.0,0.0,[ 6 15  8 13 12  2  2 14  8 15 12 10  2  2  6  2],[ 6 15  8 13 12  2  2 14  8  5 12 10  2  2  6  2],True,True,0.796875,1.0,[ 6 15  8 13 12  2  2 14  8  5  5  4  2  2  6  2],[ 6 15  8 13 12  2  2 14  8  5  5  4  2  2  6  2],True,True,0.8125,0.8125
"[1 0 1 1 0 1 1 1 0 1 0 0 1 0 1 0 0 0 0 1 1 1 0 1 0 1 1 0 0 0 0 0 1 0 1 0 0
 0 1 0 0 0 0 0 0 1 0 1 1 1 0 1 0 0 0 0 1 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0
 0 0 1 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 1 1 0 0 0 1 0 0
 0 1 1 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 1 1 0 0
 0 0 0 1 1 0 0 0 1 1 1 0 0 1 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 1 1 1 0 1 0 0 1 1 0 1 0 0 1 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0
 0 0 1 0 0 0 1 1 0 1 1 1 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0]",2,[ 2  9  2  0 12  0  2  6  6  0 13 13  6  2  0  2],[ 2  3  2 15 12  0  2  6  6 13 13 13  0  2  0  2],True,True,1.0,1.0,"[np.int64(9), np.int64(2), np.int64(0), np.int64(14), np.int64(15), np.int64(4), np.int64(15), np.int64(6), np.int64(12), np.int64(4), np.int64(6), np.int64(4), np.int64(13), np.int64(11), np.int64(1), np.int64(8)]","[np.int64(1), np.int64(13), np.int64(5), np.int64(8), np.int64(4), np.int64(12), np.int64(9), np.int64(5), np.int64(15), np.int64(9), np.int64(0), np.int64(15), np.int64(4), np.int64(10), np.int64(2), np.int64(1)]",False,False,0.0,0.0,[ 2  7  2  0 14  0  2  0  6 13 13 13  0  2  0  2],[ 2  3  2 15 12  0  2  0  6 13 13 13  0  2  0  2],True,True,0.796875,1.0,[ 2  3  2  0 12  0  2  0  6  0 13 13  0  2  0  2],[ 2  5  2 15 12  0  2  0  6 13 13 13  0  2  0  2],True,True,0.8125,0.8125
"[1 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 1 0 1 1 0 1 0 1 1 1 0 0 0 0 0 0 0 1 1 0
 0 1 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 1 1 0 1 1 1 0 0 0 0 1 0 0 1 0 1 1 0 0
 1 0 1 0 1 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 1 1 0 1 0 1 1 0 0 0 0 0 0 0
 0 0 0 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 1 0 0 0 1 0 0 1 1 1 0
 0 0 0 0 1 1 1 0 0 1 1 0 0 1 0 1 1 1 0 0 0 1 1 1 0 0 0 1 1 0 1 1 0 0 0 0 0
 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 1
 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1]",6,[14  6  6  7  6  7  6  6  1  1  1  2  4 12  4 10],[14  6  6  7  6  7  6  6  7  2  1  2  4  9  4 10],True,True,1.0,1.0,"[np.int64(4), np.int64(7), np.int64(13), np.int64(4), np.int64(1), np.int64(14), np.int64(10), np.int64(8), np.int64(5), np.int64(1), np.int64(14), np.int64(13), np.int64(4), np.int64(4), np.int64(0), np.int64(14)]","[np.int64(1), np.int64(14), np.int64(8), np.int64(6), np.int64(3), np.int64(0), np.int64(2), np.int64(9), np.int64(3), np.int64(3), np.int64(12), np.int64(5), np.int64(9), np.int64(4), np.int64(11), np.int64(14)]",False,False,0.0,0.0,[11  6  6  1  6  7  6  6  7  2  1  2  4 12  4 10],[11  6  6  1  6  7  6  6  7  2  1  2  4  9  4 10],True,True,0.796875,1.0,[ 9  6  6  1  6  7  6  6  1  1  1  2  4  9  4 10],[14  6  6  7  6  7  6  6  7  1  4  2  4  9  4 10],True,True,0.8125,0.8125
"[1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 1 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0
 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 1 1 0 0 0 1 1 0 1 1 0 1 0 1 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 1 1 0 0 0
 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0
 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0
 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 1 1 1 1 0 0 0 0 1]",8,[15  6  7  8  5 11 13  8  8  8  7  7 13  7  3  8],[ 9  6  7  8  5 14 13  8  8  8  3  7 13  7  3  8],True,True,1.0,1.0,"[np.int64(7), np.int64(2), np.int64(2), np.int64(10), np.int64(3), np.int64(7), np.int64(13), np.int64(7), np.int64(4), np.int64(10), np.int64(10), np.int64(2), np.int64(12), np.int64(13), np.int64(13), np.int64(7)]","[np.int64(6), np.int64(4), np.int64(8), np.int64(12), np.int64(3), np.int64(12), np.int64(7), np.int64(15), np.int64(8), np.int64(13), np.int64(12), np.int64(10), np.int64(12), np.int64(14), np.int64(5), np.int64(14)]",False,False,0.0,0.0,[ 9  6  7  8 12 14  2  8  8  8  7  7 13  7  3  8],[ 3  6  7  8  5 11 13  8  8  8 15  7 13  7  3  8],True,True,0.796875,1.0,[15  6  7  8 12 11  2  8  8  8 15  7 13  7  3  8],[15  6  7  8  5 14 13  8  8  8 15  7 13  7  3  8],True,True,0.8125,0.8125
"[0 1 1 0 1 0 1 0 0 0 0 0 1 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0
 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 1 1 0
 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0
 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1
 1 0 1 0 0 1 0 1 0 1 0 0 1 1 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1
 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1]",3,[ 6 13 12  3  5  6  7  3 15 15  7  8  7  6  5  7],[ 6 13 12  3  5 12  7  3 15 15  7  8  7  6  5  7],True,True,1.0,1.0,"[np.int64(1), np.int64(9), np.int64(3), np.int64(9), np.int64(13), np.int64(14), np.int64(5), np.int64(1), np.int64(5), np.int64(8), np.int64(3), np.int64(0), np.int64(7), np.int64(4), np.int64(1), np.int64(9)]","[np.int64(2), np.int64(15), np.int64(14), np.int64(15), np.int64(0), np.int64(2), np.int64(9), np.int64(12), np.int64(5), np.int64(3), np.int64(8), np.int64(3), np.int64(8), np.int64(13), np.int64(6), np.int64(0)]",False,False,0.0,0.0,[12 13 12  3  0 12  7  3 15 15  7  8  7  6  0  7],[ 6 13 10  3  5 12  7  3 15 15  7  9  7  6  5  7],True,True,0.796875,1.0,[ 6  0 10  3  0  6  7  3 15 15  7  8  7  6  0  7],[ 6  0 10  3  5  6  7  3 15 15  7  9  7  6  5  7],True,True,0.8125,0.8125
"[1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 1
 0 0 1 0 0 0 1 1 1 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0
 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 1
 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 1 1 1 0 1 1 0 0 0
 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 1 1 0 1 1 1 0 0 0 1 0 0 0 1 0 1 0
 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 1 0 1 0 1 0 0 1 0 0 0 1 0]",3,[15  4  4  3  3 15  1  3  7  3  4  4  4  2 15  3],[15  4  4  3  3 15  1  3  7  3 15  4  4  1 15  3],True,True,1.0,1.0,"[np.int64(4), np.int64(1), np.int64(9), np.int64(9), np.int64(7), np.int64(11), np.int64(2), np.int64(3), np.int64(7), np.int64(12), np.int64(13), np.int64(3), np.int64(6), np.int64(1), np.int64(7), np.int64(10)]","[np.int64(2), np.int64(7), np.int64(4), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(10), np.int64(13), np.int64(14), np.int64(11), np.int64(7), np.int64(3), np.int64(7), np.int64(6), np.int64(2)]",False,False,0.0,0.0,[15  4  7  3  3 15  1  3  7  3  4  4  4  2 15  3],[15  4  4  3  3 15  1  3  7  3  4  4  4  0 15  3],True,True,0.796875,1.0,[15  4  4  3  3 15  1  3  7  3  4  4  4  1 15  3],[15  4  4  3  3 15  1  3  7  3  4  4  4  2 15  3],True,True,0.8125,0.8125
"[0 1 0 0 0 1 0 0 0 0 0 1 0 1 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0
 0 0 0 1 1 0 0 0 0 1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1
 0 1 0 0 0 1 1 0 0 1 0 0 0 0 1 1 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 1 0
 1 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 1 0 1 0 0 0 1 0 1 1 0
 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 1
 1 0 1 1 1 0 0 0 0 1 0 1 1 0 0 1 1 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 1]",7,[11 14 14 15 11 15 10  7 10 10  7  7  5 14  7  7],[11 14 14 15 15 15 10  7 10 10  7  7  5 11  7  7],True,True,1.0,1.0,"[np.int64(1), np.int64(3), np.int64(0), np.int64(6), np.int64(11), np.int64(15), np.int64(15), np.int64(5), np.int64(8), np.int64(3), np.int64(3), np.int64(7), np.int64(6), np.int64(3), np.int64(1), np.int64(3)]","[np.int64(2), np.int64(1), np.int64(6), np.int64(5), np.int64(6), np.int64(3), np.int64(2), np.int64(14), np.int64(0), np.int64(9), np.int64(12), np.int64(4), np.int64(4), np.int64(1), np.int64(2), np.int64(7)]",False,False,0.0,0.0,[11 14 14 15 15 15 11  7 10 10  7  7  5 14  7  7],[14 14 14 15 11 15 11  7 10 10  7  7  5 14  7  7],True,True,0.796875,1.0,[11 14 14 15 11 15 10  7 10 10  7  7  5 11  7  7],[11 14 14 15 11 15 10  7 10 14  7  7  5 11  7  7],True,True,0.8125,0.8125
