As,Argmax_Model_Trees,Argmax_True_Trees,Argmax_Model_Mask,Argmax_True_Mask,Argmax_Model_Accuracy,Argmax_True_Accuracy,Random_Model_Trees,Random_True_Trees,Random_Model_Mask,Random_True_Mask,Random_Model_Accuracy,Random_True_Accuracy,Upwards_Model_Trees,Upwards_True_Trees,Upwards_Model_Mask,Upwards_True_Mask,Upwards_Model_Accuracy,Upwards_True_Accuracy,altUpwards_Model_Trees,altUpwards_True_Trees,altUpwards_Model_Mask,altUpwards_True_Mask,altUpwards_Model_Accuracy,altUpwards_True_Accuracy,Argmax_Model_Uniques,Argmax_Model_Valids_Uniques,Argmax_Model_Valids,Argmax_Model_Unique_Counts,Argmax_Model_Valid_Unique_Counts,Argmax_Model_Valid_Counts,Argmax_True_Uniques,Argmax_True_Valids_Uniques,Argmax_True_Valids,Argmax_True_Unique_Counts,Argmax_True_Valid_Unique_Counts,Argmax_True_Valid_Counts,Random_Model_Uniques,Random_Model_Valids_Uniques,Random_Model_Valids,Random_Model_Unique_Counts,Random_Model_Valid_Unique_Counts,Random_Model_Valid_Counts,Random_True_Uniques,Random_True_Valids_Uniques,Random_True_Valids,Random_True_Unique_Counts,Random_True_Valid_Unique_Counts,Random_True_Valid_Counts,Upwards_Model_Uniques,Upwards_Model_Valids_Uniques,Upwards_Model_Valids,Upwards_Model_Unique_Counts,Upwards_Model_Valid_Unique_Counts,Upwards_Model_Valid_Counts,Upwards_True_Uniques,Upwards_True_Valids_Uniques,Upwards_True_Valids,Upwards_True_Unique_Counts,Upwards_True_Valid_Unique_Counts,Upwards_True_Valid_Counts,altUpwards_Model_Uniques,altUpwards_Model_Valids_Uniques,altUpwards_Model_Valids,altUpwards_Model_Unique_Counts,altUpwards_Model_Valid_Unique_Counts,altUpwards_Model_Valid_Counts,altUpwards_True_Uniques,altUpwards_True_Valids_Uniques,altUpwards_True_Valids,altUpwards_True_Unique_Counts,altUpwards_True_Valid_Unique_Counts,altUpwards_True_Valid_Counts
[0 1 1 0 1 1 0 1 0 1 0 1 1 0 0 1 0 0 0 1 0 1 1 0 0],[0 2 0 3 1],[0 0 4 3 1],True,True,0.75,0.9375,"[np.int64(3), np.int64(4), np.int64(1), np.int64(0), np.int64(1)]","[np.int64(4), np.int64(1), np.int64(4), np.int64(3), np.int64(1)]",False,False,0.015625,0.0,[0 2 0 3 0],[0 4 1 3 1],True,False,0.8125,0.75,[0. 0. 0. 3. 0.],[0. 4. 1. 3. 1.],True,False,0.71875,0.84375,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,1.0,0.0,0.0,25,0,0,0.96,0.0,0.0,24,0,0,0.6,0.6,0.6,15,9,15,0.48,0.5833333333333334,0.52,12,7,13,0.56,0.7857142857142857,0.72,14,11,18,0.56,0.6428571428571429,0.68,14,9,17
[0 0 1 1 1 1 1 0 0 0 1 1 0 0 1 1 1 0 1 1 1 1 0 0 1],[0 4 0 0 3],[0 4 0 0 2],True,True,0.75,0.9375,"[np.int64(3), np.int64(4), np.int64(4), np.int64(0), np.int64(0)]","[np.int64(4), np.int64(0), np.int64(0), np.int64(2), np.int64(4)]",False,False,0.015625,0.0,[0 4 0 0 2],[0 4 0 0 0],True,True,0.8125,0.75,[0. 4. 0. 0. 2.],[0. 4. 0. 0. 3.],True,True,0.71875,0.84375,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.36,1.0,1.0,9,9,25,0.28,1.0,1.0,7,7,25,0.32,1.0,1.0,8,8,25,0.36,1.0,1.0,9,9,25
[1 1 0 1 0 0 0 0 1 0 1 0 1 1 0 0 1 1 0 1 0 0 0 0 1],[0 3 3 0 3],[0 3 3 0 3],True,True,0.75,0.9375,"[np.int64(1), np.int64(1), np.int64(1), np.int64(4), np.int64(1)]","[np.int64(3), np.int64(0), np.int64(1), np.int64(3), np.int64(0)]",False,False,0.015625,0.0,[0 3 3 0 3],[0 0 3 0 3],True,True,0.8125,0.75,[0. 3. 3. 0. 3.],[0. 0. 3. 0. 3.],True,True,0.71875,0.84375,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.2,0.6,0.76,5,3,19,0.16,0.75,0.84,4,3,21,0.16,0.75,0.84,4,3,21,0.16,0.75,0.96,4,3,24
[1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 0 1 0 1 0 0 0 1 1 1],[0 3 1 2 2],[0 3 1 4 2],False,False,0.75,0.9375,"[np.int64(1), np.int64(4), np.int64(0), np.int64(1), np.int64(3)]","[np.int64(3), np.int64(1), np.int64(4), np.int64(0), np.int64(3)]",False,False,0.015625,0.0,[0 3 4 4 0],[0 3 1 1 0],True,False,0.8125,0.75,[0. 3. 4. 0. 2.],[0. 0. 1. 0. 0.],False,True,0.71875,0.84375,0.04,0.0,0.0,1,0,0,0.04,0.0,0.0,1,0,0,1.0,0.04,0.04,25,1,1,0.96,0.0,0.0,24,0,0,0.72,0.4444444444444444,0.44,18,8,11,0.68,0.5882352941176471,0.56,17,10,14,0.72,0.5555555555555556,0.56,18,10,14,0.56,0.6428571428571429,0.6,14,9,15
[0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 1 0 0 1 1 0 1 1 1 0],[0 1 4 4 3],[0 1 4 1 1],False,True,0.75,0.9375,"[np.int64(0), np.int64(4), np.int64(0), np.int64(2), np.int64(4)]","[np.int64(3), np.int64(4), np.int64(1), np.int64(3), np.int64(1)]",False,False,0.015625,0.0,[0 1 4 1 3],[0 1 4 1 1],True,True,0.8125,0.75,[0. 1. 4. 4. 3.],[0. 1. 4. 2. 1.],False,True,0.71875,0.84375,0.04,0.0,0.0,1,0,0,0.04,1.0,1.0,1,1,25,1.0,0.0,0.0,25,0,0,0.92,0.0,0.0,23,0,0,0.2,0.6,0.52,5,3,13,0.24,0.6666666666666666,0.72,6,4,18,0.16,0.75,0.72,4,3,18,0.24,0.6666666666666666,0.72,6,4,18
[1 0 0 1 0 1 1 1 1 1 1 1 0 0 0 1 0 1 0 1 0 1 1 1 0],[0 2 3 0 3],[0 2 3 0 1],True,True,0.75,0.9375,"[np.int64(3), np.int64(2), np.int64(2), np.int64(3), np.int64(3)]","[np.int64(0), np.int64(4), np.int64(0), np.int64(1), np.int64(3)]",False,False,0.015625,0.0,[0 2 4 0 3],[0 2 1 0 3],True,False,0.8125,0.75,[0. 4. 4. 0. 3.],[0. 4. 4. 0. 1.],True,False,0.71875,0.84375,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.32,0.625,0.76,8,5,19,0.4,0.6,0.68,10,6,17,0.32,0.625,0.72,8,5,18,0.4,0.5,0.52,10,5,13
[0 0 0 1 0 1 1 1 0 1 0 1 1 1 0 1 0 1 1 0 1 0 0 0 0],[0 2 3 0 1],[0 2 3 0 1],True,True,0.75,0.9375,"[np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(2)]","[np.int64(0), np.int64(3), np.int64(4), np.int64(3), np.int64(2)]",False,False,0.015625,0.0,[0 2 3 0 1],[0 2 3 0 1],True,True,0.8125,0.75,[0. 2. 3. 0. 1.],[0. 2. 3. 0. 1.],True,True,0.71875,0.84375,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,0.12,0.3333333333333333,0.88,3,1,22,0.04,1.0,1.0,1,1,25
[0 1 0 0 1 0 0 0 1 0 1 1 0 1 1 0 0 0 0 0 1 1 1 0 1],[0 0 4 2 0],[0 0 4 1 0],True,True,0.75,0.9375,"[np.int64(3), np.int64(3), np.int64(2), np.int64(0), np.int64(0)]","[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(3)]",False,False,0.015625,0.0,[0 0 4 2 2],[0 2 4 1 0],False,True,0.8125,0.75,[0. 0. 4. 1. 0.],[0. 4. 4. 1. 0.],True,True,0.71875,0.84375,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,1.0,0.04,0.04,25,1,1,0.96,0.0,0.0,24,0,0,0.4,0.5,0.52,10,5,13,0.24,1.0,1.0,6,6,25,0.4,0.5,0.6,10,5,15,0.24,1.0,1.0,6,6,25
[0 0 1 1 1 1 0 1 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 1],[0 3 1 2 2],[0 3 0 2 2],False,True,0.75,0.9375,"[np.int64(2), np.int64(0), np.int64(0), np.int64(0), np.int64(0)]","[np.int64(0), np.int64(2), np.int64(2), np.int64(0), np.int64(1)]",False,False,0.015625,0.0,[0 3 3 2 2],[0 3 0 2 2],False,True,0.8125,0.75,[0. 3. 1. 2. 0.],[0. 3. 0. 0. 0.],False,True,0.71875,0.84375,0.04,0.0,0.0,1,0,0,0.04,1.0,1.0,1,1,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.44,0.6363636363636364,0.6,11,7,15,0.28,0.8571428571428571,0.92,7,6,23,0.44,0.6363636363636364,0.52,11,7,13,0.32,0.75,0.84,8,6,21
[1 0 0 0 0 0 0 1 1 0 0 1 1 0 0 1 0 1 0 0 1 1 1 1 1],[0 1 1 1 4],[0 1 3 1 4],True,True,0.75,0.9375,"[np.int64(0), np.int64(2), np.int64(2), np.int64(4), np.int64(3)]","[np.int64(1), np.int64(2), np.int64(4), np.int64(2), np.int64(1)]",False,False,0.015625,0.0,[0 1 1 1 4],[0 1 1 1 4],True,True,0.8125,0.75,[0. 1. 1. 1. 4.],[0. 1. 3. 1. 4.],True,True,0.71875,0.84375,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.12,0.6666666666666666,0.96,3,2,24,0.08,1.0,1.0,2,2,25,0.08,1.0,1.0,2,2,25,0.08,1.0,1.0,2,2,25
