As,Source_Nodes,Categorical_Model_Trees,Categorical_True_Trees,Categorical_Model_Mask,Categorical_True_Mask,Categorical_Model_Accuracy,Categorical_True_Accuracy,Random_Model_Trees,Random_True_Trees,Random_Model_Mask,Random_True_Mask,Random_Model_Accuracy,Random_True_Accuracy,Prim_Model_Trees,Prim_True_Trees,Prim_Model_Mask,Prim_True_Mask,Prim_Model_Accuracy,Prim_True_Accuracy,Beam_Model_Trees,Beam_True_Trees,Beam_Model_Mask,Beam_True_Mask,Beam_Model_Accuracy,Beam_True_Accuracy,Categorical_Model_Uniques,Categorical_Model_Valids_Uniques,Categorical_Model_Valids,Categorical_Model_Unique_Counts,Categorical_Model_Valid_Unique_Counts,Categorical_Model_Valid_Counts,Categorical_True_Uniques,Categorical_True_Valids_Uniques,Categorical_True_Valids,Categorical_True_Unique_Counts,Categorical_True_Valid_Unique_Counts,Categorical_True_Valid_Counts,Random_Model_Uniques,Random_Model_Valids_Uniques,Random_Model_Valids,Random_Model_Unique_Counts,Random_Model_Valid_Unique_Counts,Random_Model_Valid_Counts,Random_True_Uniques,Random_True_Valids_Uniques,Random_True_Valids,Random_True_Unique_Counts,Random_True_Valid_Unique_Counts,Random_True_Valid_Counts,Prim_Model_Uniques,Prim_Model_Valids_Uniques,Prim_Model_Valids,Prim_Model_Unique_Counts,Prim_Model_Valid_Unique_Counts,Prim_Model_Valid_Counts,Prim_True_Uniques,Prim_True_Valids_Uniques,Prim_True_Valids,Prim_True_Unique_Counts,Prim_True_Valid_Unique_Counts,Prim_True_Valid_Counts,Beam_Model_Uniques,Beam_Model_Valids_Uniques,Beam_Model_Valids,Beam_Model_Unique_Counts,Beam_Model_Valid_Unique_Counts,Beam_Model_Valid_Counts,Beam_True_Uniques,Beam_True_Valids_Uniques,Beam_True_Valids,Beam_True_Unique_Counts,Beam_True_Valid_Unique_Counts,Beam_True_Valid_Counts
"[0 0 0 0 0 0 1 1 0 1 1 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1
 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 1 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0
 0 1 0 0 0 0 1 1 1 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 1 0 0 1
 0 0 1 1 0 0 1 1 0 1 0 1 1 0 0 1 0 1 0 1 0 1 1 1 1 0 1 1 0 1 1 0 0 0 0 0 0
 1 1 1 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 1 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1
 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1]",4,[10 11  4 10  4 10  9 10 12 11 11  2 10  9 10 10],[ 9 11  4 10  4 10  9 10 14 11 11  2 10  9 10  9],True,False,0.53125,0.6875,"[np.int64(3), np.int64(11), np.int64(1), np.int64(4), np.int64(7), np.int64(3), np.int64(5), np.int64(7), np.int64(4), np.int64(2), np.int64(14), np.int64(1), np.int64(7), np.int64(0), np.int64(6), np.int64(9)]","[np.int64(0), np.int64(13), np.int64(12), np.int64(8), np.int64(6), np.int64(10), np.int64(6), np.int64(9), np.int64(15), np.int64(10), np.int64(0), np.int64(4), np.int64(14), np.int64(12), np.int64(1), np.int64(11)]",False,False,0.0,0.0,[10 11  4 10  4 10  9  9  5 11 11  2 10  9 10  9],[10 11  4 10  4 10  9 10 14 11 11  2 10  9 10  9],False,False,0.390625,0.625,[10 11  4 10  4 10  9 10 14 11 11  2 10  9 10 10],[10 11  4 10  4 10  1 10 14 11 11  2 10  9 10 10],True,True,0.640625,0.71875,0.92,0.13043478260869565,0.12,23,3,3,0.84,0.19047619047619047,0.24,21,4,6,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.96,0.0,0.0,24,0,0,0.92,0.08695652173913043,0.08,23,2,2,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25
"[1 0 1 0 1 0 1 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0
 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 1 1 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0
 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0
 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 1 0 0 1 1 1 0 0 0 1 0 1 0 0 0 1 0 1 0
 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1]",8,[ 8  8  8  8  3  3  0 11  8 11  2  1  0  6 15 10],[ 8  8  8  8  3  3  3 11  8 11  2  1  0  6 15 10],False,True,0.53125,0.6875,"[np.int64(7), np.int64(11), np.int64(9), np.int64(4), np.int64(9), np.int64(9), np.int64(5), np.int64(8), np.int64(9), np.int64(8), np.int64(10), np.int64(8), np.int64(12), np.int64(11), np.int64(0), np.int64(9)]","[np.int64(9), np.int64(6), np.int64(2), np.int64(8), np.int64(2), np.int64(9), np.int64(15), np.int64(7), np.int64(3), np.int64(0), np.int64(0), np.int64(6), np.int64(8), np.int64(2), np.int64(4), np.int64(4)]",False,False,0.0,0.0,[ 8  8  8  8  0  3  0 11  8 11  2  1  0  6 15 10],[ 8  8  8  8  3  3  0 11  8 11  2  1  0  6 15 10],True,False,0.390625,0.625,[ 8  8  8  8  3  3  0 11  8 11  2  1  0  6 15 10],[ 8  8  8  8  0  3  0 11  8 11  2  1  0  6 15 10],False,True,0.640625,0.71875,0.52,0.6153846153846154,0.64,13,8,16,0.4,0.5,0.56,10,5,14,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.44,0.45454545454545453,0.44,11,5,11,0.56,0.5,0.56,14,7,14,0.04,0.0,0.0,1,0,0,0.04,1.0,1.0,1,1,25
"[1 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 1 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0
 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 1 0 0 0 0 1 0
 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 0 1 1
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1
 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0
 1 0 0 0 0 1 0 1 0 0 1 0 0 0 1 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0]",3,[ 3  5  9  3  0 14  3  0 11  3  4  3 14 14  3  7],[ 3  5  9  3  0  6  3  0 14  3  4  3 14  6  3  2],True,False,0.53125,0.6875,"[np.int64(14), np.int64(3), np.int64(9), np.int64(3), np.int64(4), np.int64(9), np.int64(10), np.int64(6), np.int64(4), np.int64(11), np.int64(6), np.int64(12), np.int64(7), np.int64(8), np.int64(2), np.int64(4)]","[np.int64(8), np.int64(0), np.int64(12), np.int64(12), np.int64(1), np.int64(9), np.int64(2), np.int64(11), np.int64(1), np.int64(13), np.int64(5), np.int64(2), np.int64(1), np.int64(7), np.int64(14), np.int64(6)]",False,False,0.0,0.0,[ 3  5  9  3  0  6  3  0  0  3 13  3 14 14  3  7],[ 3  5  9  3  0  6  3  0 11  3 13  3 14  6  3  7],False,True,0.390625,0.625,[ 3  5  9  3  0 14  3  0 14  3  4  3 14  6  3  7],[ 3  5  9  3  0  6  3  0  0  3  4  3 14  6  3  2],False,True,0.640625,0.71875,0.8,0.4,0.36,20,8,9,0.88,0.36363636363636365,0.32,22,8,8,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.88,0.45454545454545453,0.44,22,10,11,0.72,0.2222222222222222,0.24,18,4,6,0.04,0.0,0.0,1,0,0,0.04,1.0,1.0,1,1,25
"[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1
 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 1 1 0 0
 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 1 0 0
 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 0 1 1 1 0 1 0 1 0 0 0 0
 0 1 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1
 1 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 1
 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1]",0,[ 0 13  4  4  0  6  4  4 11 13  8  4  3  4  7  2],[ 0  3  4  4  0  6  4  4 11 11 14  4  7  4  7  2],False,True,0.53125,0.6875,"[np.int64(4), np.int64(13), np.int64(9), np.int64(10), np.int64(14), np.int64(5), np.int64(14), np.int64(9), np.int64(14), np.int64(2), np.int64(7), np.int64(0), np.int64(3), np.int64(10), np.int64(11), np.int64(3)]","[np.int64(10), np.int64(4), np.int64(2), np.int64(8), np.int64(13), np.int64(1), np.int64(4), np.int64(6), np.int64(7), np.int64(10), np.int64(14), np.int64(14), np.int64(5), np.int64(3), np.int64(3), np.int64(2)]",False,False,0.0,0.0,[ 0  3  4  4  0  6  4  4  7 13  8  4  3  4  7  2],[ 0  3  4  4  0  6  4  4  7 13  8  4  6  4  7 13],True,False,0.390625,0.625,[ 0 13  4  4  0  6  4  4 13 13 14  4  7  4  7  2],[ 0  3  4  4  0  6  4  4  6 13  8  4  6  4  7 13],True,True,0.640625,0.71875,1.0,0.4,0.4,25,10,10,0.88,0.3181818181818182,0.4,22,7,10,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.88,0.2727272727272727,0.24,22,6,6,0.96,0.4166666666666667,0.44,24,10,11,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25
"[0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0
 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 0 1 1 0 0 1 0 0 0 0 1 0
 0 0 1 0 0 0 1 0 0 1 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0
 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 1 1
 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 1 0 0
 0 0 1 0 1 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0
 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0]",13,[13 12  0 10  0  0 11 13 10  3 13 13  4 13 10 10],[13 12  0 10  0  7 11 13 10  3 13 13  4 13 10 10],True,True,0.53125,0.6875,"[np.int64(15), np.int64(6), np.int64(7), np.int64(10), np.int64(12), np.int64(6), np.int64(6), np.int64(3), np.int64(12), np.int64(2), np.int64(1), np.int64(2), np.int64(8), np.int64(15), np.int64(11), np.int64(12)]","[np.int64(0), np.int64(0), np.int64(13), np.int64(13), np.int64(8), np.int64(7), np.int64(4), np.int64(14), np.int64(7), np.int64(13), np.int64(1), np.int64(3), np.int64(4), np.int64(11), np.int64(5), np.int64(15)]",False,False,0.0,0.0,[13 12 10 10  0  0 11 13 10  5 13 13  4 13 10 10],[13 12 10 10  0  0 11 13 10  2 13 13  4 13 10 10],True,True,0.390625,0.625,[13 12 10 10  0  0 11 13 10  5 13 13  2 13 10 10],[13 12  0 10  0  0 11 13 10  5 13 13  2 13 10 10],True,True,0.640625,0.71875,0.64,1.0,1.0,16,16,25,0.6,1.0,1.0,15,15,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.64,1.0,1.0,16,16,25,0.56,1.0,1.0,14,14,25,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25
"[0 0 0 0 1 0 1 0 1 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0
 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0
 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0
 0 0 0 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 1 1 1 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 1]",5,[ 8 12 11 14  0  5  0  5  5 10  5 15  8 15 15  5],[ 8 12 11 14  0  5  0  5  5  7  5 15  8 15  8  5],False,True,0.53125,0.6875,"[np.int64(1), np.int64(15), np.int64(12), np.int64(10), np.int64(12), np.int64(0), np.int64(11), np.int64(6), np.int64(3), np.int64(1), np.int64(4), np.int64(1), np.int64(6), np.int64(5), np.int64(11), np.int64(15)]","[np.int64(12), np.int64(0), np.int64(4), np.int64(12), np.int64(7), np.int64(14), np.int64(7), np.int64(12), np.int64(13), np.int64(10), np.int64(9), np.int64(1), np.int64(12), np.int64(12), np.int64(12), np.int64(2)]",False,False,0.0,0.0,[10 14 11 14  0  5  0  5  5  8  5 15  8 15  8  5],[ 8 14 11 14  0  5  0  5  5 10  5 15  8 15  8  5],False,False,0.390625,0.625,[10 14 11 14 14  5  0  5  5  7  5 15  8 15 15  5],[ 8 14 11 14  0  5  0  5  5  8  5 15  8 15  8  5],True,True,0.640625,0.71875,0.76,0.47368421052631576,0.52,19,9,13,0.72,0.5555555555555556,0.48,18,10,12,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.8,0.7,0.76,20,14,19,0.68,0.5882352941176471,0.56,17,10,14,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25
"[1 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0
 1 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 1 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 1
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1
 0 0 0 0 0 0 0 0 1 1 1 1 0 1 0 0 1 1 1 0 0 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0
 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1
 0 0 1 0 1 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1]",10,[14 10 14  9 10 10 10  7  4 12 10  2 10  5 10  9],[14 10 14  8 10 10 10  7  4 14 10 13 10  5 10  9],True,True,0.53125,0.6875,"[np.int64(10), np.int64(9), np.int64(9), np.int64(3), np.int64(7), np.int64(4), np.int64(0), np.int64(1), np.int64(7), np.int64(13), np.int64(6), np.int64(0), np.int64(11), np.int64(5), np.int64(2), np.int64(13)]","[np.int64(3), np.int64(3), np.int64(7), np.int64(4), np.int64(5), np.int64(4), np.int64(15), np.int64(8), np.int64(4), np.int64(11), np.int64(15), np.int64(11), np.int64(9), np.int64(1), np.int64(2), np.int64(3)]",False,False,0.0,0.0,[14 10 14  8 10 10 10  2  5 14 10 13 10  5 10  9],[ 1 10 14  8 10 10 10  7  4 12 10 13 10  5 10  9],False,True,0.390625,0.625,[14 10 14  8 10 10 10  2  5 14 10 13 10  5 10  9],[ 1 10 14  8 10 10 10  0  4 14 10  2 10  5 10  9],False,False,0.640625,0.71875,0.88,1.0,1.0,22,22,25,0.64,1.0,1.0,16,16,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.96,0.0,0.0,24,0,0,0.68,1.0,1.0,17,17,25,0.04,0.0,0.0,1,0,0,0.04,0.0,0.0,1,0,0
"[0 0 0 0 0 0 1 0 1 0 1 1 1 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 1 1 1 0 0 1 0 0 0
 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0
 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 1
 0 0 1 0 0 0 0 0 1 1 1 0 1 0 1 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 1 1 1
 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0
 0 0 1 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 1
 0 1 0 1 0 1 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0]",3,[ 6  9  9  3  8  9 14  9  5  3 14  7  2  1  3 11],[ 6 14  9  3  8  9 14  9  5  3 14  7  1  1  3 13],True,False,0.53125,0.6875,"[np.int64(9), np.int64(2), np.int64(12), np.int64(1), np.int64(0), np.int64(12), np.int64(12), np.int64(13), np.int64(11), np.int64(15), np.int64(13), np.int64(10), np.int64(8), np.int64(11), np.int64(10), np.int64(5)]","[np.int64(14), np.int64(15), np.int64(3), np.int64(2), np.int64(8), np.int64(3), np.int64(10), np.int64(0), np.int64(4), np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(12), np.int64(13)]",False,False,0.0,0.0,[ 6 14  9  3  8  9 14  9  7  3 14  7  2  7  3 13],[10  9  9  3  8  9 14  9  7  3 14  7  1  1  3 11],False,True,0.390625,0.625,[10 14  9  3  8 14 14  9  5  3 14  7  1  1  3 13],[10 14  9  3  8 14 14  9  5  3 14  7  1  1  3 11],True,True,0.640625,0.71875,0.96,0.5,0.48,24,12,12,0.88,0.6363636363636364,0.6,22,14,15,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.96,0.5416666666666666,0.52,24,13,13,0.84,0.5238095238095238,0.48,21,11,12,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25
"[1 0 0 0 0 0 1 0 0 1 1 1 0 1 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 1 0 1 0 1 1 0 0 0 0 0 0 0 0 1 1 1 0
 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 1
 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0
 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0
 0 1 1 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 1 0 1 1 0 0 0 0 1 0 0 1 1 1
 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1]",8,[13  8 13  8  8  1  4  3  8  0  4 13 13  8 13 13],[13  8 13  8  8  1  4  3  8 12  3 13  3  8 13 13],False,True,0.53125,0.6875,"[np.int64(9), np.int64(11), np.int64(5), np.int64(15), np.int64(2), np.int64(10), np.int64(15), np.int64(3), np.int64(1), np.int64(7), np.int64(15), np.int64(2), np.int64(10), np.int64(3), np.int64(8), np.int64(9)]","[np.int64(9), np.int64(15), np.int64(0), np.int64(3), np.int64(11), np.int64(4), np.int64(2), np.int64(14), np.int64(11), np.int64(14), np.int64(9), np.int64(12), np.int64(0), np.int64(5), np.int64(13), np.int64(8)]",False,False,0.0,0.0,[13  8 13  8  8  3  4  4  8  0  4 13 13  8 13 13],[13  8 13  8  8  3  4  4  8  0  3 13  3  8 13 13],True,False,0.390625,0.625,[13  8 13  8  8  3  4  3  8 12  3 13  3  8 13 13],[13  8 13  8  8  1  4  3  8 12  3 13  3  8 13 13],True,True,0.640625,0.71875,0.76,0.5789473684210527,0.48,19,11,12,0.76,0.47368421052631576,0.52,19,9,13,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.72,0.6111111111111112,0.6,18,11,15,0.68,0.47058823529411764,0.52,17,8,13,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25
"[0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1
 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1
 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 0
 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 1 0 1 0 1 0 0 0 0
 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 1 0 1 1 0 0 0 0 1 0 1
 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1
 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0]",5,[11 11  4  6  3  5  5  8  5  4  8  6 10  8  5  8],[11 11  4  6  3  5  5  8  5  4  8  8 15  8  5  8],False,False,0.53125,0.6875,"[np.int64(13), np.int64(8), np.int64(8), np.int64(2), np.int64(1), np.int64(10), np.int64(12), np.int64(0), np.int64(6), np.int64(9), np.int64(6), np.int64(6), np.int64(12), np.int64(14), np.int64(4), np.int64(11)]","[np.int64(10), np.int64(11), np.int64(3), np.int64(1), np.int64(7), np.int64(5), np.int64(13), np.int64(13), np.int64(13), np.int64(6), np.int64(7), np.int64(14), np.int64(14), np.int64(10), np.int64(10), np.int64(4)]",False,False,0.0,0.0,[11 11  4  6  3  5  5  6  5  4  8 14  3  8  5  8],[15 11  4  6  3  5  5  8  5  4 14  6 10  8  5  8],False,False,0.390625,0.625,[15 11  4  6 15  5  5 14  5  4 14 14 15  8  5  8],[15 11  4  6 15  5  5  8  5  4  8  8 15  8  5  8],True,True,0.640625,0.71875,1.0,0.04,0.04,25,1,1,0.96,0.08333333333333333,0.08,24,2,2,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.96,0.08333333333333333,0.08,24,2,2,0.96,0.041666666666666664,0.04,24,1,1,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25
