As,Argmax_Model_Trees,Argmax_True_Trees,Argmax_Model_Mask,Argmax_True_Mask,Argmax_Model_Accuracy,Argmax_True_Accuracy,Random_Model_Trees,Random_True_Trees,Random_Model_Mask,Random_True_Mask,Random_Model_Accuracy,Random_True_Accuracy,Upwards_Model_Trees,Upwards_True_Trees,Upwards_Model_Mask,Upwards_True_Mask,Upwards_Model_Accuracy,Upwards_True_Accuracy,altUpwards_Model_Trees,altUpwards_True_Trees,altUpwards_Model_Mask,altUpwards_True_Mask,altUpwards_Model_Accuracy,altUpwards_True_Accuracy,Argmax_Model_Uniques,Argmax_Model_Valids_Uniques,Argmax_Model_Valids,Argmax_Model_Unique_Counts,Argmax_Model_Valid_Unique_Counts,Argmax_Model_Valid_Counts,Argmax_True_Uniques,Argmax_True_Valids_Uniques,Argmax_True_Valids,Argmax_True_Unique_Counts,Argmax_True_Valid_Unique_Counts,Argmax_True_Valid_Counts,Random_Model_Uniques,Random_Model_Valids_Uniques,Random_Model_Valids,Random_Model_Unique_Counts,Random_Model_Valid_Unique_Counts,Random_Model_Valid_Counts,Random_True_Uniques,Random_True_Valids_Uniques,Random_True_Valids,Random_True_Unique_Counts,Random_True_Valid_Unique_Counts,Random_True_Valid_Counts,Upwards_Model_Uniques,Upwards_Model_Valids_Uniques,Upwards_Model_Valids,Upwards_Model_Unique_Counts,Upwards_Model_Valid_Unique_Counts,Upwards_Model_Valid_Counts,Upwards_True_Uniques,Upwards_True_Valids_Uniques,Upwards_True_Valids,Upwards_True_Unique_Counts,Upwards_True_Valid_Unique_Counts,Upwards_True_Valid_Counts,altUpwards_Model_Uniques,altUpwards_Model_Valids_Uniques,altUpwards_Model_Valids,altUpwards_Model_Unique_Counts,altUpwards_Model_Valid_Unique_Counts,altUpwards_Model_Valid_Counts,altUpwards_True_Uniques,altUpwards_True_Valids_Uniques,altUpwards_True_Valids,altUpwards_True_Unique_Counts,altUpwards_True_Valid_Unique_Counts,altUpwards_True_Valid_Counts
[1 0 1 0 0 1 0 1 1 0 0 1 1 0 1 1 0 0 1 0 0 1 1 0 1],[0 2 0 1 2],[0 4 0 1 2],True,True,0.890625,0.828125,"[np.int64(2), np.int64(4), np.int64(1), np.int64(1), np.int64(1)]","[np.int64(1), np.int64(1), np.int64(4), np.int64(0), np.int64(1)]",False,False,0.0,0.0,[0 4 0 1 2],[0 4 0 1 2],True,True,0.78125,0.796875,[0. 2. 0. 1. 2.],[0. 2. 0. 1. 2.],True,True,0.828125,0.734375,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.28,0.2857142857142857,0.76,7,2,19,0.08,1.0,1.0,2,2,25,0.2,0.4,0.8,5,2,20,0.08,1.0,1.0,2,2,25
[0 0 1 0 1 0 1 1 0 0 1 1 0 1 1 0 1 1 0 0 1 0 0 1 0],[0 3 0 2 0],[0 3 0 2 2],True,True,0.890625,0.828125,"[np.int64(2), np.int64(0), np.int64(2), np.int64(1), np.int64(1)]","[np.int64(4), np.int64(2), np.int64(1), np.int64(0), np.int64(2)]",False,False,0.0,0.0,[0 3 0 4 0],[0 2 1 2 2],True,False,0.78125,0.796875,[0. 2. 0. 2. 0.],[0. 3. 1. 2. 0.],True,False,0.828125,0.734375,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,1.0,0.0,0.0,25,0,0,1.0,0.04,0.04,25,1,1,0.52,0.6153846153846154,0.76,13,8,19,0.64,0.4375,0.56,16,7,14,0.56,0.6428571428571429,0.6,14,9,15,0.52,0.6153846153846154,0.52,13,8,13
[0 0 1 1 0 0 0 1 1 0 0 0 1 1 1 0 1 1 1 1 1 1 1 1 1],[0 3 0 0 2],[0 3 0 0 2],True,True,0.890625,0.828125,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(3)]","[np.int64(0), np.int64(2), np.int64(2), np.int64(3), np.int64(3)]",False,False,0.0,0.0,[0 4 1 1 2],[0 3 0 1 3],False,False,0.78125,0.796875,[0. 4. 0. 0. 3.],[0. 3. 0. 1. 2.],True,False,0.828125,0.734375,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,0.96,0.0,0.0,24,0,0,1.0,0.0,0.0,25,0,0,0.76,0.3157894736842105,0.48,19,6,12,0.6,0.6,0.64,15,9,16,0.6,0.6666666666666666,0.76,15,10,19,0.6,0.5333333333333333,0.72,15,8,18
[1 0 1 0 1 0 0 1 1 1 1 0 1 1 1 0 1 1 1 0 0 0 1 1 0],[0 3 0 2 0],[0 3 0 2 0],True,True,0.890625,0.828125,"[np.int64(3), np.int64(3), np.int64(4), np.int64(3), np.int64(4)]","[np.int64(3), np.int64(1), np.int64(3), np.int64(1), np.int64(2)]",False,False,0.0,0.0,[0 3 0 2 2],[0 3 4 4 1],True,False,0.78125,0.796875,[0. 3. 4. 2. 2.],[0. 3. 1. 2. 0.],False,False,0.828125,0.734375,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,1.0,0.0,0.0,25,0,0,1.0,0.04,0.04,25,1,1,0.52,0.6153846153846154,0.8,13,8,20,0.64,0.4375,0.52,16,7,13,0.6,0.4,0.6,15,6,15,0.52,0.46153846153846156,0.52,13,6,13
[0 0 1 1 1 1 1 0 0 0 1 1 1 0 1 1 1 1 1 1 1 0 1 0 0],[0 2 0 0 0],[0 2 4 0 2],True,False,0.890625,0.828125,"[np.int64(1), np.int64(4), np.int64(3), np.int64(2), np.int64(0)]","[np.int64(3), np.int64(0), np.int64(2), np.int64(3), np.int64(0)]",False,False,0.0,0.0,[0 3 0 0 0],[0 2 0 0 2],True,True,0.78125,0.796875,[0. 2. 3. 0. 2.],[0. 2. 4. 0. 0.],True,True,0.828125,0.734375,0.04,1.0,1.0,1,1,25,0.04,0.0,0.0,1,0,0,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.56,0.8571428571428571,0.88,14,12,22,0.4,0.8,0.6,10,8,15,0.6,0.8,0.88,15,12,22,0.44,0.8181818181818182,0.8,11,9,20
[0 0 1 1 1 0 1 1 1 0 1 1 0 1 1 1 1 0 1 0 0 1 1 0 1],[0 2 1 1 2],[0 3 1 1 2],False,False,0.890625,0.828125,"[np.int64(4), np.int64(1), np.int64(2), np.int64(1), np.int64(3)]","[np.int64(0), np.int64(0), np.int64(4), np.int64(2), np.int64(3)]",False,False,0.0,0.0,[0 3 0 1 2],[0 3 0 1 2],False,False,0.78125,0.796875,[0. 4. 1. 0. 2.],[0. 4. 0. 0. 2.],False,True,0.828125,0.734375,0.04,0.0,0.0,1,0,0,0.04,0.0,0.0,1,0,0,1.0,0.04,0.04,25,1,1,1.0,0.0,0.0,25,0,0,0.76,0.47368421052631576,0.4,19,9,10,0.68,0.47058823529411764,0.52,17,8,13,0.72,0.4444444444444444,0.36,18,8,9,0.72,0.2777777777777778,0.28,18,5,7
[1 0 0 1 0 1 0 0 1 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0],[0 1 2 0 3],[0 1 2 0 3],True,True,0.890625,0.828125,"[np.int64(3), np.int64(0), np.int64(2), np.int64(2), np.int64(0)]","[np.int64(2), np.int64(1), np.int64(4), np.int64(0), np.int64(4)]",False,False,0.0,0.0,[0 1 2 0 3],[0 1 2 0 3],True,True,0.78125,0.796875,[0. 1. 2. 0. 3.],[0. 1. 2. 0. 3.],True,True,0.828125,0.734375,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,0.08,0.5,0.96,2,1,24,0.04,1.0,1.0,1,1,25
[1 0 1 1 1 1 0 1 1 1 0 0 1 1 1 0 0 0 1 1 1 1 0 1 1],[0 4 1 0 0],[0 4 1 0 3],True,True,0.890625,0.828125,"[np.int64(1), np.int64(0), np.int64(2), np.int64(3), np.int64(1)]","[np.int64(1), np.int64(3), np.int64(2), np.int64(2), np.int64(2)]",False,False,0.0,0.0,[0 4 0 0 2],[0 4 1 1 2],True,False,0.78125,0.796875,[0. 4. 0. 0. 3.],[0. 4. 0. 4. 3.],True,False,0.828125,0.734375,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,1.0,0.04,0.04,25,1,1,1.0,0.04,0.04,25,1,1,0.56,0.5714285714285714,0.52,14,8,13,0.6,0.5333333333333333,0.52,15,8,13,0.64,0.625,0.56,16,10,14,0.52,0.5384615384615384,0.56,13,7,14
[0 0 1 0 1 0 1 1 0 0 1 1 0 1 1 0 1 1 0 0 1 0 0 1 0],[0 3 0 2 0],[0 3 0 2 2],True,True,0.890625,0.828125,"[np.int64(3), np.int64(4), np.int64(2), np.int64(0), np.int64(1)]","[np.int64(3), np.int64(2), np.int64(4), np.int64(0), np.int64(3)]",False,False,0.0,0.0,[0 2 0 2 2],[0 2 1 2 2],True,False,0.78125,0.796875,[0. 2. 3. 2. 0.],[0. 3. 0. 2. 0.],False,True,0.828125,0.734375,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25,0.96,0.0,0.0,24,0,0,1.0,0.0,0.0,25,0,0,0.68,0.47058823529411764,0.4,17,8,10,0.56,0.6428571428571429,0.72,14,9,18,0.56,0.6428571428571429,0.72,14,9,18,0.56,0.5714285714285714,0.52,14,8,13
[1 0 0 1 0 1 1 0 1 1 0 1 1 0 1 0 1 1 1 1 1 0 1 0 0],[0 2 4 0 3],[0 2 4 0 1],True,False,0.890625,0.828125,"[np.int64(2), np.int64(0), np.int64(1), np.int64(1), np.int64(0)]","[np.int64(4), np.int64(1), np.int64(1), np.int64(0), np.int64(3)]",False,False,0.0,0.0,[0 2 3 0 1],[0 2 3 0 3],True,True,0.78125,0.796875,[0. 2. 4. 0. 3.],[0. 2. 4. 0. 3.],True,True,0.828125,0.734375,0.04,1.0,1.0,1,1,25,0.04,0.0,0.0,1,0,0,1.0,0.04,0.04,25,1,1,1.0,0.0,0.0,25,0,0,0.48,0.6666666666666666,0.8,12,8,20,0.36,0.6666666666666666,0.76,9,6,19,0.56,0.5,0.44,14,7,11,0.36,0.6666666666666666,0.6,9,6,15
