algorithm,size,method,source,metric,mean,std,num_seeds
bfs_multi,5,Categorical,True,valid,1.0,0.0,5
bfs_multi,5,Categorical,True,unique,0.041625,0.001218349293101118,5
bfs_multi,5,Categorical,True,valid_unique,1.0,0.0,5
bfs_multi,5,Categorical,Model,valid,0.9971250000000002,0.004229731078922166,5
bfs_multi,5,Categorical,Model,unique,0.042499999999999996,0.0008838834764831852,5
bfs_multi,5,Categorical,Model,valid_unique,0.9911458333333332,0.015797657175107414,5
bfs_multi,5,Prim,True,valid,1.0,0.0,5
bfs_multi,5,Prim,True,unique,0.041625,0.001218349293101118,5
bfs_multi,5,Prim,True,valid_unique,1.0,0.0,5
bfs_multi,5,Prim,Model,valid,0.203125,0.0625,5
bfs_multi,5,Prim,Model,unique,0.060375,0.009127996083478567,5
bfs_multi,5,Prim,Model,valid_unique,0.203125,0.0625,5
bfs_multi,5,Beam,True,valid,0.203125,0.0625,5
bfs_multi,5,Beam,True,unique,0.04,0.0,5
bfs_multi,5,Beam,True,valid_unique,0.203125,0.0625,5
bfs_multi,5,Beam,Model,valid,0.203125,0.0625,5
bfs_multi,5,Beam,Model,unique,0.04,0.0,5
bfs_multi,5,Beam,Model,valid_unique,0.203125,0.0625,5
bfs_multi,5,Random,True,valid,0.000125,0.00027950849718747374,5
bfs_multi,5,Random,True,unique,0.9964999999999999,0.0011353688827865842,5
bfs_multi,5,Random,True,valid_unique,0.000125,0.00027950849718747374,5
bfs_multi,5,Random,Model,valid,0.00025,0.0005590169943749475,5
bfs_multi,5,Random,Model,unique,0.9961249999999999,0.0006846531968814379,5
bfs_multi,5,Random,Model,valid_unique,0.00025520833333333314,0.0005706631817577584,5
bfs_multi,16,Categorical,True,valid,0.638875,0.10594017327010559,5
bfs_multi,16,Categorical,True,unique,0.6910000000000001,0.0506184409331224,5
bfs_multi,16,Categorical,True,valid_unique,0.634943652446293,0.10704890614043185,5
bfs_multi,16,Categorical,Model,valid,0.61825,0.11200097655824255,5
bfs_multi,16,Categorical,Model,unique,0.718375,0.04756286957806473,5
bfs_multi,16,Categorical,Model,valid_unique,0.6200810214553716,0.10857905228723307,5
bfs_multi,16,Prim,True,valid,0.6331249999999999,0.10207897524710952,5
bfs_multi,16,Prim,True,unique,0.6944999999999999,0.040729193307749136,5
bfs_multi,16,Prim,True,valid_unique,0.6289625600428199,0.10586193703108726,5
bfs_multi,16,Prim,Model,valid,0.517,0.12693917711841365,5
bfs_multi,16,Prim,Model,unique,0.76125,0.054816811403984415,5
bfs_multi,16,Prim,Model,valid_unique,0.5155826289561093,0.12590872474607956,5
bfs_multi,16,Beam,True,valid,0.7875,0.09732757188998399,5
bfs_multi,16,Beam,True,unique,0.04,0.0,5
bfs_multi,16,Beam,True,valid_unique,0.7875,0.09732757188998399,5
bfs_multi,16,Beam,Model,valid,0.709375,0.06684140511314825,5
bfs_multi,16,Beam,Model,unique,0.04,0.0,5
bfs_multi,16,Beam,Model,valid_unique,0.709375,0.06684140511314825,5
bfs_multi,16,Random,True,valid,0.0,0.0,5
bfs_multi,16,Random,True,unique,1.0,0.0,5
bfs_multi,16,Random,True,valid_unique,0.0,0.0,5
bfs_multi,16,Random,Model,valid,0.0,0.0,5
bfs_multi,16,Random,Model,unique,1.0,0.0,5
bfs_multi,16,Random,Model,valid_unique,0.0,0.0,5
bfs_multi,64,Categorical,True,valid,0.0,0.0,5
bfs_multi,64,Categorical,True,unique,1.0,0.0,5
bfs_multi,64,Categorical,True,valid_unique,0.0,0.0,5
bfs_multi,64,Categorical,Model,valid,0.0,0.0,5
bfs_multi,64,Categorical,Model,unique,1.0,0.0,5
bfs_multi,64,Categorical,Model,valid_unique,0.0,0.0,5
bfs_multi,64,Prim,True,valid,0.0,0.0,5
bfs_multi,64,Prim,True,unique,1.0,0.0,5
bfs_multi,64,Prim,True,valid_unique,0.0,0.0,5
bfs_multi,64,Prim,Model,valid,0.0,0.0,5
bfs_multi,64,Prim,Model,unique,1.0,0.0,5
bfs_multi,64,Prim,Model,valid_unique,0.0,0.0,5
bfs_multi,64,Beam,True,valid,0.003125,0.006987712429686844,5
bfs_multi,64,Beam,True,unique,0.04,0.0,5
bfs_multi,64,Beam,True,valid_unique,0.003125,0.006987712429686844,5
bfs_multi,64,Beam,Model,valid,0.071875,0.10162257838443187,5
bfs_multi,64,Beam,Model,unique,0.04,0.0,5
bfs_multi,64,Beam,Model,valid_unique,0.071875,0.10162257838443187,5
bfs_multi,64,Random,True,valid,0.0,0.0,5
bfs_multi,64,Random,True,unique,1.0,0.0,5
bfs_multi,64,Random,True,valid_unique,0.0,0.0,5
bfs_multi,64,Random,Model,valid,0.0,0.0,5
bfs_multi,64,Random,Model,unique,1.0,0.0,5
bfs_multi,64,Random,Model,valid_unique,0.0,0.0,5
