algorithm,size,method,source,metric,mean,std,num_seeds
mst_prim_multi,5,Argmax,True,valid,1.0,0.0,5
mst_prim_multi,5,Argmax,True,unique,0.04,0.0,5
mst_prim_multi,5,Argmax,True,valid_unique,1.0,0.0,5
mst_prim_multi,5,Argmax,Model,valid,0.99375,0.013975424859373685,5
mst_prim_multi,5,Argmax,Model,unique,0.04,0.0,5
mst_prim_multi,5,Argmax,Model,valid_unique,0.99375,0.013975424859373685,5
mst_prim_multi,5,Tree,True,valid,0.99125,0.009132274497626505,5
mst_prim_multi,5,Tree,True,unique,0.04175,0.001734304615688949,5
mst_prim_multi,5,Tree,True,valid_unique,0.9932291666666666,0.006790835838752769,5
mst_prim_multi,5,Tree,Model,valid,0.99075,0.009756808520207817,5
mst_prim_multi,5,Tree,Model,unique,0.041875,0.0017116329922036418,5
mst_prim_multi,5,Tree,Model,valid_unique,0.9911458333333332,0.011876827344782657,5
mst_prim_multi,5,Greedy,True,valid,0.57875,0.08085963919038969,5
mst_prim_multi,5,Greedy,True,unique,0.041375,0.0013549677117924226,5
mst_prim_multi,5,Greedy,True,valid_unique,0.5822916666666667,0.08166045496146765,5
mst_prim_multi,5,Greedy,Model,valid,0.579375,0.08031067604932735,5
mst_prim_multi,5,Greedy,Model,unique,0.042624999999999996,0.0019465514377996788,5
mst_prim_multi,5,Greedy,Model,valid_unique,0.5760416666666666,0.07364314439928464,5
mst_prim_multi,5,Random,True,valid,0.000125,0.00027950849718747374,5
mst_prim_multi,5,Random,True,unique,0.9961249999999999,0.001202211503854468,5
mst_prim_multi,5,Random,True,valid_unique,0.000125,0.00027950849718747374,5
mst_prim_multi,5,Random,Model,valid,0.0005,0.00027950849718747374,5
mst_prim_multi,5,Random,Model,unique,0.9962499999999999,0.0015934435979977984,5
mst_prim_multi,5,Random,Model,valid_unique,0.0005,0.00027950849718747374,5
mst_prim_multi,16,Argmax,True,valid,0.709375,0.10631891147627501,5
mst_prim_multi,16,Argmax,True,unique,0.04,0.0,5
mst_prim_multi,16,Argmax,True,valid_unique,0.709375,0.10631891147627501,5
mst_prim_multi,16,Argmax,Model,valid,0.471875,0.0792111990977286,5
mst_prim_multi,16,Argmax,Model,unique,0.04,0.0,5
mst_prim_multi,16,Argmax,Model,valid_unique,0.471875,0.0792111990977286,5
mst_prim_multi,16,Tree,True,valid,0.46025,0.07376800627643393,5
mst_prim_multi,16,Tree,True,unique,0.531375,0.04801611057759679,5
mst_prim_multi,16,Tree,True,valid_unique,0.4350101578178845,0.06323580321631384,5
mst_prim_multi,16,Tree,Model,valid,0.43949999999999995,0.06173975117377782,5
mst_prim_multi,16,Tree,Model,unique,0.57925,0.05245980604234062,5
mst_prim_multi,16,Tree,Model,valid_unique,0.3953195248996574,0.04759898435025262,5
mst_prim_multi,16,Greedy,True,valid,0.249875,0.056887704624989044,5
mst_prim_multi,16,Greedy,True,unique,0.4925,0.08084756103309487,5
mst_prim_multi,16,Greedy,True,valid_unique,0.28173792810443415,0.0647984067865266,5
mst_prim_multi,16,Greedy,Model,valid,0.21612499999999998,0.055426964895256524,5
mst_prim_multi,16,Greedy,Model,unique,0.548625,0.0817895546509455,5
mst_prim_multi,16,Greedy,Model,valid_unique,0.22293484546029996,0.053289340727480275,5
mst_prim_multi,16,Random,True,valid,0.0,0.0,5
mst_prim_multi,16,Random,True,unique,1.0,0.0,5
mst_prim_multi,16,Random,True,valid_unique,0.0,0.0,5
mst_prim_multi,16,Random,Model,valid,0.0,0.0,5
mst_prim_multi,16,Random,Model,unique,1.0,0.0,5
mst_prim_multi,16,Random,Model,valid_unique,0.0,0.0,5
mst_prim_multi,64,Argmax,True,valid,0.909375,0.043357615392223776,5
mst_prim_multi,64,Argmax,True,unique,0.04,0.0,5
mst_prim_multi,64,Argmax,True,valid_unique,0.909375,0.043357615392223776,5
mst_prim_multi,64,Argmax,Model,valid,0.925,0.043357615392223776,5
mst_prim_multi,64,Argmax,Model,unique,0.04,0.0,5
mst_prim_multi,64,Argmax,Model,valid_unique,0.925,0.043357615392223776,5
mst_prim_multi,64,Tree,True,valid,0.95375,0.023230334425057272,5
mst_prim_multi,64,Tree,True,unique,1.0,0.0,5
mst_prim_multi,64,Tree,True,valid_unique,0.95375,0.023230334425057272,5
mst_prim_multi,64,Tree,Model,valid,0.8182500000000001,0.11651716611727218,5
mst_prim_multi,64,Tree,Model,unique,1.0,0.0,5
mst_prim_multi,64,Tree,Model,valid_unique,0.8182500000000001,0.11651716611727218,5
mst_prim_multi,64,Greedy,True,valid,0.078875,0.01168766711110476,5
mst_prim_multi,64,Greedy,True,unique,1.0,0.0,5
mst_prim_multi,64,Greedy,True,valid_unique,0.078875,0.01168766711110476,5
mst_prim_multi,64,Greedy,Model,valid,0.15475,0.09497388621352713,5
mst_prim_multi,64,Greedy,Model,unique,1.0,0.0,5
mst_prim_multi,64,Greedy,Model,valid_unique,0.15475,0.09497388621352713,5
mst_prim_multi,64,Random,True,valid,0.0,0.0,5
mst_prim_multi,64,Random,True,unique,1.0,0.0,5
mst_prim_multi,64,Random,True,valid_unique,0.0,0.0,5
mst_prim_multi,64,Random,Model,valid,0.0,0.0,5
mst_prim_multi,64,Random,Model,unique,1.0,0.0,5
mst_prim_multi,64,Random,Model,valid_unique,0.0,0.0,5
