As,Source_Nodes,Categorical_Model_Trees,Categorical_True_Trees,Categorical_Model_Mask,Categorical_True_Mask,Categorical_Model_Accuracy,Categorical_True_Accuracy,Random_Model_Trees,Random_True_Trees,Random_Model_Mask,Random_True_Mask,Random_Model_Accuracy,Random_True_Accuracy,Prim_Model_Trees,Prim_True_Trees,Prim_Model_Mask,Prim_True_Mask,Prim_Model_Accuracy,Prim_True_Accuracy,Beam_Model_Trees,Beam_True_Trees,Beam_Model_Mask,Beam_True_Mask,Beam_Model_Accuracy,Beam_True_Accuracy,Categorical_Model_Uniques,Categorical_Model_Valids_Uniques,Categorical_Model_Valids,Categorical_Model_Unique_Counts,Categorical_Model_Valid_Unique_Counts,Categorical_Model_Valid_Counts,Categorical_True_Uniques,Categorical_True_Valids_Uniques,Categorical_True_Valids,Categorical_True_Unique_Counts,Categorical_True_Valid_Unique_Counts,Categorical_True_Valid_Counts,Random_Model_Uniques,Random_Model_Valids_Uniques,Random_Model_Valids,Random_Model_Unique_Counts,Random_Model_Valid_Unique_Counts,Random_Model_Valid_Counts,Random_True_Uniques,Random_True_Valids_Uniques,Random_True_Valids,Random_True_Unique_Counts,Random_True_Valid_Unique_Counts,Random_True_Valid_Counts,Prim_Model_Uniques,Prim_Model_Valids_Uniques,Prim_Model_Valids,Prim_Model_Unique_Counts,Prim_Model_Valid_Unique_Counts,Prim_Model_Valid_Counts,Prim_True_Uniques,Prim_True_Valids_Uniques,Prim_True_Valids,Prim_True_Unique_Counts,Prim_True_Valid_Unique_Counts,Prim_True_Valid_Counts,Beam_Model_Uniques,Beam_Model_Valids_Uniques,Beam_Model_Valids,Beam_Model_Unique_Counts,Beam_Model_Valid_Unique_Counts,Beam_Model_Valid_Counts,Beam_True_Uniques,Beam_True_Valids_Uniques,Beam_True_Valids,Beam_True_Unique_Counts,Beam_True_Valid_Unique_Counts,Beam_True_Valid_Counts
"[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0
 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0
 1 0 0 1 1 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 1 0
 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1
 0 0 1 0 1 1 0 0 0 0 1 1 0 0 0 0 1 1 1 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0
 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0
 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1]",4,[ 3  8  0 14  4  4 10 13  4  8  4 12 10  4  4  6],[ 3  5  0 14  4  4 13 13  4 14  4 12 10  4  4  6],True,True,0.796875,0.859375,"[np.int64(15), np.int64(14), np.int64(13), np.int64(1), np.int64(12), np.int64(7), np.int64(15), np.int64(9), np.int64(5), np.int64(12), np.int64(3), np.int64(14), np.int64(12), np.int64(13), np.int64(14), np.int64(7)]","[np.int64(5), np.int64(14), np.int64(7), np.int64(5), np.int64(6), np.int64(2), np.int64(7), np.int64(5), np.int64(13), np.int64(3), np.int64(2), np.int64(8), np.int64(13), np.int64(11), np.int64(6), np.int64(0)]",False,False,0.0,0.0,[ 3  8  0 14  4  4 10 13  4 14  4  6 10  4  4  6],[ 3  8  0 14  4  4 10 13  4 14  4  6 10  4  4  9],False,False,0.671875,0.8125,[ 3  5  0 14  4  4 10 13  4  8  4  6 10  4  4  6],[ 3  5  0 14  4  4 10 13  4 14  4 12 10  4  4  6],True,True,0.78125,0.8125,0.84,0.7619047619047619,0.8,21,16,20,0.68,0.8823529411764706,0.92,17,15,23,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.84,0.5714285714285714,0.6,21,12,15,0.76,0.8421052631578947,0.88,19,16,22,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25
"[1 0 0 1 0 0 0 1 0 1 1 0 1 1 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0
 1 0 1 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0
 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1
 0 1 1 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 0 0 1 0 1 0 0 0
 0 0 0 1 0 0 0 0 1 1 0 0 1 0 1 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1
 0 1 1 0 1 0 0 1 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 0 1 0 0
 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1]",5,[13  3  5  2 10  5 12 15  3 13  2 13  0  5  8  5],[13  3  5 13 10  5 12  2 11 13  2 13  9  5  8  5],True,True,0.796875,0.859375,"[np.int64(3), np.int64(15), np.int64(11), np.int64(12), np.int64(2), np.int64(5), np.int64(7), np.int64(13), np.int64(7), np.int64(8), np.int64(5), np.int64(10), np.int64(9), np.int64(11), np.int64(12), np.int64(10)]","[np.int64(9), np.int64(2), np.int64(13), np.int64(12), np.int64(0), np.int64(9), np.int64(8), np.int64(8), np.int64(7), np.int64(4), np.int64(8), np.int64(6), np.int64(10), np.int64(12), np.int64(0), np.int64(2)]",False,False,0.0,0.0,[13  7  5  2 10  5 12  2 11 13  2 13  0  5  8  5],[13  3  5  2 10  5 12 15 11 13  2 13  9  5  8  5],True,True,0.671875,0.8125,[13  3  5  2 10  5 12  2  3 13  2 13  0  5  8  5],[13  3  5 13 10  5 12  2 10 13  2 13  9  5  8  5],True,True,0.78125,0.8125,0.84,1.0,1.0,21,21,25,0.72,1.0,1.0,18,18,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.84,1.0,1.0,21,21,25,0.68,1.0,1.0,17,17,25,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25
"[1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 1 0 1 0 0 1 0 0 1 1 1 1 0 0 0 0 0 1 0 0
 0 0 0 0 1 1 1 0 0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0
 0 0 1 1 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0
 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 1 1 1 0 0 1 0 0 0 0 0 1 1 0 0 0 1 1 0 1 1 1
 0 0 0 0 1 1 0 0 0 0 0 0 1 1 1 1 0 0 1 1 1 0 1 0 1 0 0 0 0 1 1 0 0 1 0 0 0
 0 0 0 1 1 1 0 0 1 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 1 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0]",3,[ 8  3 10  3 12 11 10 10  3  3  3  1  1 11  8  8],[ 8  3  9  3  7 11 10 10  3  3  3  1 10 11  8  8],False,True,0.796875,0.859375,"[np.int64(15), np.int64(4), np.int64(2), np.int64(12), np.int64(7), np.int64(15), np.int64(5), np.int64(15), np.int64(13), np.int64(6), np.int64(11), np.int64(7), np.int64(3), np.int64(0), np.int64(12), np.int64(3)]","[np.int64(9), np.int64(4), np.int64(11), np.int64(6), np.int64(7), np.int64(2), np.int64(12), np.int64(2), np.int64(1), np.int64(5), np.int64(3), np.int64(9), np.int64(0), np.int64(1), np.int64(4), np.int64(13)]",False,False,0.0,0.0,[ 8  3  9  3 12 11  1 10  3  3  3  1 10 11  8  8],[ 8  3  9  3 12 11  1 10  3  3  3  1  1 11  8  8],False,True,0.671875,0.8125,[ 8  3  9  3  7 11 10 10  3  3  3  1  1 11  8  8],[10  3 10  3  7 11  1 10  3  3  3  1  1 11  8  8],False,True,0.78125,0.8125,0.8,0.5,0.52,20,10,13,0.64,0.625,0.56,16,10,14,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.76,0.47368421052631576,0.56,19,9,14,0.8,0.5,0.44,20,10,11,0.04,0.0,0.0,1,0,0,0.04,1.0,1.0,1,1,25
"[0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
 0 0 0 1 1 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0
 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 1 1 1
 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 1 0
 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 1 1
 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1
 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 1]",5,[10  9 15 15 10  5 10 11  5  2  5  8  4 10  6  5],[10  9  8 15 10  5 10 13  5  2  5  8  6 10 13  5],True,True,0.796875,0.859375,"[np.int64(14), np.int64(13), np.int64(11), np.int64(13), np.int64(10), np.int64(3), np.int64(8), np.int64(11), np.int64(9), np.int64(11), np.int64(3), np.int64(14), np.int64(10), np.int64(10), np.int64(13), np.int64(8)]","[np.int64(12), np.int64(1), np.int64(13), np.int64(7), np.int64(13), np.int64(3), np.int64(1), np.int64(14), np.int64(11), np.int64(6), np.int64(3), np.int64(3), np.int64(9), np.int64(12), np.int64(7), np.int64(2)]",False,False,0.0,0.0,[10  9 15 15 10  5 10 13  5  2  5  8  6 10 13  5],[10  9  8 15 10  5 10 11  5  2  5  8  4 10 13  5],True,True,0.671875,0.8125,[10  9  8 15 10  5 10 11  5  2  5  8  4 10  6  5],[10  9  8 15 10  5 10 11  5  2  5  8  6 10  6  5],True,True,0.78125,0.8125,0.48,1.0,1.0,12,12,25,0.44,1.0,1.0,11,11,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.56,1.0,1.0,14,14,25,0.56,1.0,1.0,14,14,25,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25
"[0 0 0 1 0 1 0 0 1 0 1 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 1 1 0 0 0 0 1 0 0
 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0
 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0
 0 0 0 0 1 1 0 0 1 0 0 1 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0
 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0
 0 1 1 0 0 0 0 1 1 0 0 1 1 0 0 1 0 0 0 1 1 0 1 0 1 0 1 0 0 1 1 0 0 0 0 1 0
 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0]",5,[ 5 12  5  0 12  5  1 15 12  9  0  5  5 12  4 12],[ 5 12  5  0 12  5 13 15  0  9  0  5  5 12  4 12],True,True,0.796875,0.859375,"[np.int64(4), np.int64(5), np.int64(3), np.int64(3), np.int64(15), np.int64(13), np.int64(9), np.int64(9), np.int64(12), np.int64(2), np.int64(6), np.int64(12), np.int64(6), np.int64(6), np.int64(12), np.int64(4)]","[np.int64(3), np.int64(4), np.int64(13), np.int64(10), np.int64(10), np.int64(15), np.int64(12), np.int64(10), np.int64(9), np.int64(14), np.int64(5), np.int64(2), np.int64(14), np.int64(8), np.int64(5), np.int64(9)]",False,False,0.0,0.0,[ 5 12  5  0 12  5  1  3 12  1 11  5  5 12  4 12],[ 5 12  5  0 12  5 13  4 12  9  0  5  5 12  4 12],False,True,0.671875,0.8125,[ 5 12  5  0 12  5  1  4  0  0  0  5  5 12  4 12],[ 5 12  5  0 12  5 13 13  0  0  0  5  5 12  4 12],False,False,0.78125,0.8125,0.64,1.0,1.0,16,16,25,0.76,1.0,1.0,19,19,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.92,0.0,0.0,23,0,0,0.72,1.0,1.0,18,18,25,0.04,0.0,0.0,1,0,0,0.04,0.0,0.0,1,0,0
"[1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 1 0 0 1 1 1 0 0 0 0 1 0 0 0 1 0
 0 1 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 1 0 0 0 0 0
 1 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1
 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 1 1 0 0 0 0 0 0 1 1]",7,[ 5  6  7  6  8  7  7  7  7  6  3  4  0  3 15  7],[ 5  6  7  6 15  7  7  7  7  8  3  4  0  3 15  7],True,False,0.796875,0.859375,"[np.int64(7), np.int64(15), np.int64(10), np.int64(6), np.int64(3), np.int64(9), np.int64(4), np.int64(10), np.int64(5), np.int64(3), np.int64(2), np.int64(14), np.int64(9), np.int64(11), np.int64(7), np.int64(15)]","[np.int64(12), np.int64(6), np.int64(6), np.int64(8), np.int64(7), np.int64(15), np.int64(15), np.int64(14), np.int64(1), np.int64(9), np.int64(15), np.int64(10), np.int64(10), np.int64(5), np.int64(12), np.int64(9)]",False,False,0.0,0.0,[ 5  6  7  6  8  7  7  7  7  8  3  4  0  1 15  7],[ 5  6  7  6 15  7  7  7  7  8  3  4  0  1 15  7],True,False,0.671875,0.8125,[ 5  6  7  6  8  7  7  7  7  6  3  4  0  1 15  7],[ 5  6  7  6  8  7  7  7  7  6  3  4  0  3 15  7],True,True,0.78125,0.8125,0.48,0.75,0.68,12,9,17,0.52,0.7692307692307693,0.76,13,10,19,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.56,0.7857142857142857,0.8,14,11,20,0.48,0.75,0.72,12,9,18,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25
"[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0
 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0
 0 0 0 0 0 1 1 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0
 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 1 1 0
 0 0 1 0 0 1 1 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1
 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 1 0 0 0 0 0 1 1 0 0 0 1]",9,[ 9  0 12  5  5  0 10 11  5  9  1 15  5 10  0  0],[ 9  0 12  5  5  0 10 11  5  9  1 14  1 10  0  0],True,True,0.796875,0.859375,"[np.int64(10), np.int64(15), np.int64(6), np.int64(5), np.int64(9), np.int64(13), np.int64(7), np.int64(15), np.int64(6), np.int64(1), np.int64(1), np.int64(4), np.int64(2), np.int64(1), np.int64(11), np.int64(3)]","[np.int64(2), np.int64(4), np.int64(0), np.int64(9), np.int64(13), np.int64(5), np.int64(14), np.int64(12), np.int64(10), np.int64(10), np.int64(11), np.int64(8), np.int64(9), np.int64(1), np.int64(2), np.int64(8)]",False,False,0.0,0.0,[ 9  0 10  5  5  0 11 11  5  9  1 14  5 10  0  0],[ 9  0 12  5  5  0 11 11  5  9 15 14  5 10  0  0],True,False,0.671875,0.8125,[ 9  0 10  5  5  0 10 11  5  9  1 14  1 10  0  0],[ 9  0 10  5  5  0 10 11  5  9 14 14  5 10  0  0],True,True,0.78125,0.8125,0.8,0.55,0.56,20,11,14,0.84,0.6666666666666666,0.68,21,14,17,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.92,0.6086956521739131,0.6,23,14,15,0.92,0.5652173913043478,0.6,23,13,15,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25
"[1 0 0 0 1 0 1 0 0 1 1 1 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 1 0 1
 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 1 1 0 0 1 1 1 0 0 0 0 0 0 1 0
 0 0 1 1 1 1 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 1 0 1 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0
 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 1]",6,[ 6  6 14  1  6  6  6  1  8 13 13  0  5  6 13 13],[ 6  6 14  1  6  6  6  1  8  0  0  0  5  6 13 13],True,True,0.796875,0.859375,"[np.int64(6), np.int64(11), np.int64(13), np.int64(3), np.int64(6), np.int64(11), np.int64(3), np.int64(3), np.int64(11), np.int64(3), np.int64(9), np.int64(9), np.int64(10), np.int64(2), np.int64(2), np.int64(6)]","[np.int64(5), np.int64(15), np.int64(2), np.int64(7), np.int64(4), np.int64(6), np.int64(6), np.int64(13), np.int64(6), np.int64(2), np.int64(0), np.int64(1), np.int64(3), np.int64(10), np.int64(5), np.int64(7)]",False,False,0.0,0.0,[ 6  6 14  1  6  6  6  4  3  0  0  0  5  6 13 13],[ 6  6  7  1  6  6  6  1  8  0  0  0  5  6 13 13],False,True,0.671875,0.8125,[ 6  6  7  1  6  6  6  4  0  0  0  0  5  6 13 13],[ 6  6  7  1  6  6  6  1  0  0  0  0  5  6 13 13],False,False,0.78125,0.8125,0.76,0.631578947368421,0.64,19,12,16,0.64,0.625,0.64,16,10,16,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.88,0.0,0.0,22,0,0,0.64,0.6875,0.68,16,11,17,0.04,0.0,0.0,1,0,0,0.04,0.0,0.0,1,0,0
"[0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 1 1 0 0 1 1 0
 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1
 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0
 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1
 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1
 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1 1 0 0 1]",2,[15  4  2  2  3 15 14  2  4  6 10  3 15 14  2  7],[15  4  2  2  3 13 14  2 11  6 10  3 15 14  2  7],True,True,0.796875,0.859375,"[np.int64(13), np.int64(4), np.int64(12), np.int64(5), np.int64(0), np.int64(6), np.int64(9), np.int64(14), np.int64(7), np.int64(5), np.int64(0), np.int64(2), np.int64(3), np.int64(3), np.int64(15), np.int64(11)]","[np.int64(1), np.int64(14), np.int64(2), np.int64(6), np.int64(4), np.int64(12), np.int64(3), np.int64(15), np.int64(15), np.int64(13), np.int64(9), np.int64(13), np.int64(4), np.int64(9), np.int64(3), np.int64(15)]",False,False,0.0,0.0,[15  4  2  2  7 13 14  2  4  6  4  3 15 14  2  7],[15  4  2  2  7 13 14  2  4  6 10  3 15 14  2  7],False,True,0.671875,0.8125,[15  4  2  2  3 13 14  2  4  6  0  3 15 14  2  7],[15  4  2  2  3 13 14  2  4  6  0  3 15 14  2  7],False,False,0.78125,0.8125,0.48,1.0,1.0,12,12,25,0.44,1.0,1.0,11,11,25,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.68,0.0,0.0,17,0,0,0.44,1.0,1.0,11,11,25,0.04,0.0,0.0,1,0,0,0.04,0.0,0.0,1,0,0
"[0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0
 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 0 0 0 1 0 0 0 0 1 0 0 1
 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 1 0 1 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 1 1 0 1
 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 1
 0 0 1 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 1 0 1 0 1 0 0 0 1]",3,[13 15 14  3 13  8  0 15 13 15  8  4  5  3  0  4],[13  6 14  3 13  8  0 15 13 15  8  4  5  3  4  4],True,True,0.796875,0.859375,"[np.int64(0), np.int64(12), np.int64(9), np.int64(13), np.int64(6), np.int64(4), np.int64(14), np.int64(11), np.int64(12), np.int64(6), np.int64(12), np.int64(5), np.int64(4), np.int64(12), np.int64(0), np.int64(0)]","[np.int64(3), np.int64(15), np.int64(8), np.int64(2), np.int64(10), np.int64(15), np.int64(0), np.int64(1), np.int64(7), np.int64(9), np.int64(5), np.int64(9), np.int64(7), np.int64(8), np.int64(3), np.int64(1)]",False,False,0.0,0.0,[13  6 15  3 13  8  0 15 13 15  8  4  5  3  0  4],[13 15  6  3 13  8  0 15 13 15  8  8  5  3  0  4],False,False,0.671875,0.8125,[13  6  6  3 13  8  0 15 13 15  8  4  5  3  0  4],[13  6 14  3 13  8  0 15 13 15  8  4  5  3  4  4],True,True,0.78125,0.8125,0.6,0.5333333333333333,0.56,15,8,14,0.64,0.5625,0.6,16,9,15,1.0,0.0,0.0,25,0,0,1.0,0.0,0.0,25,0,0,0.64,0.8125,0.8,16,13,20,0.68,0.7058823529411765,0.72,17,12,18,0.04,1.0,1.0,1,1,25,0.04,1.0,1.0,1,1,25
